lei,legal_name,legal_name_clean,country,in_relationships
029200396H3K1YG7D555,STANBIC NOMINEES NIGERIA LIMITED,stanbic nominees nigeria,NG,True
029200268F8M5YI5I629,ZENITH BANK PLC,zenith bank,NG,True
029200298A5K5WI0F567,FIDELITY BANK PLC,fidelity bank,NG,True
029200328C3N9YI2D660,ACCESS BANK PLC,access bank,NG,True
029200370B2O2ZA1C754,FBN HOLDINGS PLC,fbn holdings,NG,True
029200388A7S7Z5I0H57,STANBIC IBTC HOLDINGS PLC,stanbic ibtc holdings,NG,True
029200463E1OD4B73E33,OANDO PLC,oando,NG,True
029200518F3SI5D98F61,LAFARGE AFRICA PLC,lafarge africa,NG,True
029200711C4S4CB2E982,SEPLAT ENERGY PLC,seplat energy,NG,True
029200738G7T8AI6H992,DIAMOND BANK PLC,diamond bank,NG,True
0292001568C3M3WGI292,ARM SECURITIES LTD,arm securities,NG,True
0292001868F6N5VI5G15,GUARANTY TRUST BANK PLC,guaranty trust bank,NG,True
0292002067E3RH4D8768,UNITED BANK FOR AFRICA PLC,united bank for africa,NG,True
0292001381F1R1IB5B85,STANBIC IBTC STOCKBROKERS LIMITED,stanbic ibtc stockbrokers,NG,True
0292002322D4KC3E5246,AIICO INSURANCE PLC,aiico insurance,NG,True
029200239B8P7V6L1I90,PARTHIAN PARTNERS LIMITED,parthian partners,NG,True
0292002595F3Q7UF5D85,VETIVA CAPITAL MANAGEMENT LIMITED,vetiva capital management,NG,True
029200261G6Q56G8FG36,UNION BANK OF NIGERIA PLC,union bank of nigeria,NG,True
0292002717G4T0CH6E65,FBNQUEST MERCHANT BANK LIMITED,fbnquest merchant bank,NG,True
029200364B8N6X9F1I18,RAND MERCHANT BANK NIGERIA LIMITED,rand merchant bank nigeria,NG,True
0292003053E9T6XD4J69,ZENITH NOMINEES LIMITED,zenith nominees,NG,True
029200325G5L3B56F539,FIRST PENSION CUSTODIAN NIGERIA LIMITED,first pension custodian nigeria,NG,True
0292003272D0K9BC3A91,VETIVA TRUSTEES LIMITED,vetiva trustees,NG,True
0292003540H0S4VA7A50,FIRST ASSET MANAGEMENT LIMITED,first asset management,NG,True
029200355B5N3V4F1F58,PSL CAPITAL LIMITED,psl capital,NG,True
0292003601E9LB4J5157,FIRST NOMINEES NIGERIA LIMITED,first nominees nigeria,NG,True
0292003678F3M2X5I579,RMB NIGERIA NOMINEES LIMITED,rmb nigeria nominees,NG,True
029200370C9R1X2J8B30,FBNQUEST TRUSTEES LIMITED,fbnquest trustees,NG,True
0292003818A1T1X5I052,FCMB GROUP PLC,fcmb group,NG,True
0292003823C8T7UD2I52,FCMB PENSIONS LIMITED,fcmb pensions,NG,True
0292003898E7N8V6I421,NOVA COMMERCIAL BANK LIMITED,nova commercial bank,NG,True
0292003906D6L4VG3G39,YUDERB INVESTMENTS AND SECURITIES LIMITED,yuderb investments and securities,NG,True
0292003988E8Q2ZI4I20,OLAM NIGERIA LIMITED,olam nigeria,NG,True
029200400G0P56A7FG47,JULIUS BERGER NIGERIA PLC,julius berger nigeria,NG,True
0292004558B0R5B7I133,ARM TRADITIONAL ASSET MANAGEMENT LIMITED,arm traditional asset management,NG,True
0292005165B3LF1D5502,CADBURY NIGERIA PLC,cadbury nigeria,NG,True
0292004488G9K8Y1I649,GUARANTY TRUST HOLDING COMPANY PLC,guaranty trust holding,NG,True
549300GM03B9OU8H6I30,STANBIC IBTC ASSET MANAGEMENT LIMITED,stanbic ibtc asset management,NG,True
0292004788G5N7U4I688,MANGO ASSET MANAGEMENT,mango asset management,NG,True
0292005048H3P6V8I753,ACCESS HOLDINGS PLC,access holdings,NG,True
0292005956B3N5YG1D77,HALLIBURTON OPERATIONS NIGERIA LIMITED,halliburton operations nigeria,NG,True
097900BEFH0000000120,"SHIFT, a.s.",shift a s,SK,True
097900BEGX0000000644,JPT Investment a.s. investičný fond s premenlivým základným imaním,jpt investment a s investicny fond s premenlivym zakladnym imanim,SK,True
097900BEH60000001674,"VÚB AM FLEXIBLE MAGNIFICA FUND, otvorený podielový fond VÚB Asset Management, správ. spol., a.s.",vub am flexible magnifica fund otvoreny podielovy fond vub asset management sprav spol a s,SK,True
097900BEHZ0000001466,"Slovalco, a.s.",slovalco a s,SK,True
097900BEJX0000001852,"ZSE Energia, a.s.",zse energia a s,SK,True
097900BEJX0000002143,"INDEX, indexový negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.",index indexovy negarantovany dochodkovy fond vub generali dochodkova spravcovska spolocnost a s,SK,True
097900BEJX0000002240,"KLASIK, dlhopisový garantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.",klasik dlhopisovy garantovany dochodkovy fond vub generali dochodkova spravcovska spolocnost a s,SK,True
097900BEJX0000002337,"SMART, inovatívny negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.",smart inovativny negarantovany dochodkovy fond vub generali dochodkova spravcovska spolocnost a s,SK,True
097900BEJX0000002434,"PROFIT, akciový negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.",profit akciovy negarantovany dochodkovy fond vub generali dochodkova spravcovska spolocnost a s,SK,True
097900BEK50000004521,"Group Cloud Solutions, s. r. o.",group cloud solutions s r o,SK,True
097900BEK60000004860,"Tatra-Leasing, s.r.o.",tatra leasing s r o,SK,True
097900BEK60000004957,"BA Development, s.r.o.",ba development s r o,SK,True
097900BEK60000005151,"Dúbravčice, s.r.o.",dubravcice s r o,SK,True
097900BEK60000005248,"PRODEAL, a.s.",prodeal a s,SK,True
097900BEL10000005682,"Wüstenrot poisťovňa, a.s.",wustenrot poistovna a s,SK,True
097900BELD0000004478,"Tatra Residence,a.s.",tatra residence a s,SK,True
097900BELS0000005586,"Wüstenrot stavebná sporiteľňa, a.s.",wustenrot stavebna sporitelna a s,SK,True
097900BEMQ0000006410,"Asset Management Slovenskej sporiteľne, správ. spol., a.s.",asset management slovenskej sporitelne sprav spol a s,SK,True
097900BEMW0000006310,"ČSOB stavebná sporiteľňa, a.s.",csob stavebna sporitelna a s,SK,True
097900BFB40000007898,"UniCredit Leasing Insurance Services, s. r. o.",unicredit leasing insurance services s r o,SK,True
097900BFBW0000007583,"UniCredit Broker, s. r. o.",unicredit broker s r o,SK,True
097900BFBW0000007680,"UniCredit Leasing Slovakia, a.s.",unicredit leasing slovakia a s,SK,True
097900BFBW0000007777,"UniCredit Fleet Management, s.r.o.",unicredit fleet management s r o,SK,True
097900BFCD0000009725,"TEDA, a.s.",teda a s,SK,True
097900BFCN0000010981,"Union poisťovňa, a. s.",union poistovna a s,SK,True
097900BFDR0000022084,"KOMUNÁLNA poisťovňa, a.s. Vienna Insurance Group",komunalna poistovna a s vienna insurance group,SK,True
097900BFDR0000022860,Slovenská plavba a prístavy a.s.,slovenska plavba a pristavy a s,SK,True
097900BFE40000025246,"ČSOB Poisťovňa, a.s.",csob poistovna a s,SK,True
097900BFE40000025828,"ELGAS, s.r.o.",elgas s r o,SK,True
097900BFE50000026167,"Asset Management Slovenskej sporiteľne, správ. spol., a.s., Inštitucionálny I2, o.p.f.",asset management slovenskej sporitelne sprav spol a s institucionalny i2 o p f,SK,True
097900BFEJ0000024657,"Slovenská záručná a rozvojová banka, a. s.",slovenska zarucna a rozvojova banka a s,SK,True
097900BFEK0000024220,"KOOPERATIVA poisťovňa, a.s. Vienna Insurance Group",kooperativa poistovna a s vienna insurance group,SK,True
097900BFEO0000009959,"Poštová poisťovňa, a.s.",postova poistovna a s,SK,True
097900BFEO0000013936,"AEGON partner, s.r.o.",aegon partner s r o,SK,True
097900BFEQ0000024896,"Veolia Energia Levice, a.s.",veolia energia levice a s,SK,True
097900BFF30000027036,SOITRON Group SE,soitron group se,SK,True
097900BFFW0000026977,"COBA Automotive, s.r.o.",coba automotive s r o,SK,True
097900BFGI0000027225,"UNIQA poisťovňa, a.s.",uniqa poistovna a s,SK,True
097900BFGQ0000028094,"INDEX Global - Indexový negarantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.",index global indexovy negarantovany dochodkovy fond nn dochodkova spravcovska spolocnost a s,SK,True
097900BFHY0000030077,MSM GROUP s.r.o.,msm group s r o,SK,True
097900BFK40000037244,"FLEXIBILNÝ KONZERVATÍVNY FOND, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",flexibilny konzervativny fond otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BFLE0000036968,"Virte, a. s.",virte a s,SK,True
097900BFMP0000038416,"HANDLOVSKÁ ENERGETIKA, s.r.o.",handlovska energetika s r o,SK,True
097900BGFG0000046041,"MAGNIFICA EDÍCIA I, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",magnifica edicia i otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BGFM0000046135,ALD Automotive Slovakia s. r. o.,ald automotive slovakia s r o,SK,True
097900BGFU0000046810,"Eurolease RE Leasing, s. r. o. v likvidácii",eurolease re leasing s r o v likvidacii,SK,True
097900BGFU0000046907,"Rent CC, s.r.o. v likvidácii",rent cc s r o v likvidacii,SK,True
097900BGFU0000047004,"Rent PO, s.r.o.",rent po s r o,SK,True
097900BGFU0000047198,"Rent GRJ, s.r.o.",rent grj s r o,SK,True
097900BGGB0000048467,"Interhouse Košice, a.s.",interhouse kosice a s,SK,True
097900BGJN0000051027,"MAGNIFICA EDÍCIA II, otvorený podielový fond Eurizon Asset Management Slovakia, správ. spol., a.s.",magnifica edicia ii otvoreny podielovy fond eurizon asset management slovakia sprav spol a s,SK,True
097900BGKM0000053160,"Národný centrálny depozitár cenných papierov, a. s.",narodny centralny depozitar cennych papierov a s,SK,True
097900BGM30000063846,"J&T Global Finance III, s.r.o.",j and t global finance iii s r o,SK,True
