lei,legal_name,legal_name_clean,country,in_relationships
029200013A5N6ZD0F605,AFRINVEST SECURITIES LIMITED,afrinvest securities,NG,False
029200137F2K8AH5C573,CAPITAL ASSETS LIMITED,capital assets,NG,False
029200038B4L4ZI1E579,CAPITAL BANCORP PLC,capital bancorp,NG,False
029200048F0K9UI5A508,CAPITAL EXPRESS SECURITIES LTD,capital express securities,NG,False
029200222D9S2BC3J917,CARDINALSTONE SECURITIES LIMITED,cardinalstone securities,NG,False
029200067A7K6CH0H586,CENTRAL SECURITIES CLEARING SYSTEM PLC,central securities clearing system,NG,False
029200050A6L6XA0G556,COWRY SECURITIES LIMITED,cowry securities,NG,False
029200028G3L5BI6D581,DIAMOND SECURITIES LIMITED,diamond securities,NG,False
029200073F9T3DD5J993,ECL ASSET MANAGEMENT LIMITED,ecl asset management,NG,False
029200086F9P0XG5J787,EUROCOMM SECURITIES LIMITED,eurocomm securities,NG,False
029200107H2M7CH7C666,FSDH CAPITAL LIMITED,fsdh capital,NG,False
029200117F9M1UH5J696,INDEPENDENT SECURITIES LIMITED,independent securities,NG,False
029200122C3N8YC2D645,INVESTMENT ONE STOCKBROKERS INTL LTD,investment one stockbrokers intl,NG,False
029200248G4K0AI6E516,MAGNARTIS FINANCE AND INVESTMENT LTD,magnartis finance and investment,NG,False
029200140H7L9YA7H589,MARINA SECURITIES STOCKBROKING SERVICES LIMITED,marina securities stockbroking services,NG,False
029200218B6P4D8I1G47,MERISTEM STOCKBROKERS LIMITED,meristem stockbrokers,NG,False
029200237D6N4H3G6E37,NEWDEVCO INVESTMENT AND SECURITIES COMPANY LIMITED,newdevco investment and securities,NG,False
029200156B8S2G1I9C02,NIGERIAN INTERNATIONAL SECURITIES LIMITED,nigerian international securities,NG,False
029200258F9S9WI5J946,SECURITIES AND CAPITAL MANAGEMENT COMPANY LIMITED,securities and capital management,NG,False
029200162D5Q8ZC3F843,SKYVIEW CAPITAL LIMITED,skyview capital,NG,False
029200175G8T2BF6I936,SMADAC SECURITIES LIMITED,smadac securities,NG,False
029200187H5Q8XH7F882,SOLID-ROCK SECURITIES AND INVESTMENT PLC,solid rock securities and investment,NG,False
029200098C3K8BI2D551,STANBIC IBTC BANK PLC,stanbic ibtc bank,NG,False
029200193E9L4YD4J522,UBA SECURITIES LIMITED,uba securities,NG,False
029200208G8P7WI6I763,WSTC FINANCIAL SERVICES LIMITED,wstc financial services,NG,False
029200396H3K1YG7D555,STANBIC NOMINEES NIGERIA LIMITED,stanbic nominees nigeria,NG,True
029200273B1P7D1B7H95,TRANS-NATIONWIDE EXPRESS PLC,trans nationwide express,NG,False
029200283J1LD9B53J33,NEM INSURANCE PLC,nem insurance,NG,False
029200268F8M5YI5I629,ZENITH BANK PLC,zenith bank,NG,True
029200312A6K5CC0G563,UBA NOMINEE LIMITED,uba nominee,NG,False
029200298A5K5WI0F567,FIDELITY BANK PLC,fidelity bank,NG,True
029200328C3N9YI2D660,ACCESS BANK PLC,access bank,NG,True
029200337A6RH0G87A49,AFROMEDIA PLC,afromedia,NG,False
029200370B2O2ZA1C754,FBN HOLDINGS PLC,fbn holdings,NG,True
029200357C5T3AH2F910,REGENCY ALLIANCE INSURANCE PLC,regency alliance insurance,NG,False
029200364B3Q4E1D8E27,RAK UNITY PETROLEUM PLC,rak unity petroleum,NG,False
029200388A7S7Z5I0H57,STANBIC IBTC HOLDINGS PLC,stanbic ibtc holdings,NG,True
029200408H7M7DI7H683,CUSTODIAN AND ALLIED PLC,custodian and allied,NG,False
029200417A8N7XH0I647,RED STAR EXPRESS PLC,red star express,NG,False
029200428G6N7AI6G645,LINKAGE ASSURANCE PLC,linkage assurance,NG,False
029200436B7LG1H56B89,CEMENT COMPANY OF NORTHERN NIGERIA PLC,cement company of northern nigeria,NG,False
029200448B5I1F8B5I87,UNILEVER NIGERIA PLC,unilever nigeria,NG,False
029200458H6K8XI7G528,ABBEY MORTGAGE BANK PLC,abbey mortgage bank,NG,False
029200463E1OD4B73E33,OANDO PLC,oando,NG,True
029200472D9P1C3J7B50,CONTINENTAL REINSURANCE PLC,continental reinsurance,NG,False
029200485E7OF4H75E77,STUDIO PRESS NIGERIA PLC,studio press nigeria,NG,False
029200494H3E7D4H3E24,WEMA BANK PLC,wema bank,NG,False
029200508J0Q4YI9A892,SECURITY SWAPS LIMITED SECURITY,security swaps limited security,NG,False
029200518F3SI5D98F61,LAFARGE AFRICA PLC,lafarge africa,NG,True
029200522F7C5H2F7C69,NCR NIGERIA PLC,ncr nigeria,NG,False
